"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
"A1"	"B3"	"C3"	"D7"	"E0"	"F4"	"G1"	"H5"	"I5"	"J1"	"K4"	"L3"
"A1"	"B3"	"C2"	"D7"	"E0"	"F5"	"G0"	"H4"	"I5"	"J1"	"K3"	"L3"
"A1"	"B3"	"C2"	"D3"	"E4"	"F0"	"G0"	"H5"	"I5"	"J4"	"K0"	"L0"
"A1"	"B2"	"C3"	"D5"	"E0"	"F0"	"G4"	"H5"	"I0"	"J2"	"K7"	"L6"
"A1"	"B3"	"C3"	"D8"	"E0"	"F3"	"G3"	"H4"	"I6"	"J3"	"K1"	"L1"
"A1"	"B3"	"C3"	"D3"	"E2"	"F3"	"G0"	"H5"	"I7"	"J2"	"K0"	"L0"
"A1"	"B2"	"C3"	"D5"	"E0"	"F6"	"G0"	"H3"	"I3"	"J0"	"K6"	"L1"
"A2"	"B4"	"C2"	"D3"	"E0"	"F9"	"G0"	"H0"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F6"	"G1"	"H2"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C3"	"D9"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L2"
"A1"	"B2"	"C1"	"D5"	"E0"	"F2"	"G2"	"H6"	"I4"	"J2"	"K4"	"L2"
"A1"	"B1"	"C4"	"D7"	"E0"	"F3"	"G1"	"H5"	"I5"	"J2"	"K3"	"L9"
"A2"	"B4"	"C3"	"D2"	"E0"	"F5"	"G0"	"H5"	"I9"	"J0"	"K0"	"L0"
"A1"	"B2"	"C4"	"D6"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L3"
"A1"	"B2"	"C2"	"D5"	"E2"	"F2"	"G1"	"H5"	"I4"	"J3"	"K2"	"L3"
"A1"	"B2"	"C2"	"D5"	"E2"	"F4"	"G1"	"H3"	"I3"	"J3"	"K4"	"L4"
"A1"	"B3"	"C3"	"D8"	"E0"	"F5"	"G0"	"H4"	"I4"	"J0"	"K5"	"L3"
"A1"	"B2"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I4"	"J0"	"K5"	"L5"
"A1"	"B4"	"C2"	"D3"	"E1"	"F4"	"G1"	"H4"	"I8"	"J1"	"K1"	"L0"
"A1"	"B3"	"C2"	"D7"	"E1"	"F2"	"G2"	"H5"	"I5"	"J2"	"K3"	"L1"
"A1"	"B3"	"C3"	"D1"	"E0"	"F2"	"G0"	"H7"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D2"	"E1"	"F7"	"G0"	"H1"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C2"	"D10"	"E0"	"F6"	"G0"	"H3"	"I6"	"J3"	"K0"	"L0"
"A8"	"B2"	"C3"	"D4"	"E3"	"F3"	"G1"	"H4"	"I3"	"J2"	"K5"	"L4"
"A2"	"B5"	"C2"	"D9"	"E1"	"F5"	"G0"	"H3"	"I7"	"J1"	"K2"	"L0"
"A1"	"B3"	"C3"	"D3"	"E1"	"F5"	"G2"	"H1"	"I6"	"J1"	"K3"	"L2"
"A2"	"B5"	"C3"	"D9"	"E0"	"F6"	"G0"	"H3"	"I9"	"J0"	"K0"	"L0"
"A1"	"B1"	"C2"	"D5"	"E1"	"F4"	"G1"	"H4"	"I2"	"J2"	"K5"	"L5"
"A1"	"B3"	"C3"	"D9"	"E0"	"F9"	"G0"	"H0"	"I9"	"J0"	"K0"	"L0"
"A1"	"B2"	"C3"	"D3"	"E2"	"F3"	"G2"	"H4"	"I5"	"J4"	"K1"	"L2"
"A2"	"B3"	"C2"	"D3"	"E1"	"F2"	"G2"	"H5"	"I7"	"J2"	"K1"	"L1"
"A1"	"B3"	"C3"	"D8"	"E1"	"F4"	"G1"	"H4"	"I6"	"J1"	"K3"	"L2"
"A1"	"B2"	"C2"	"D3"	"E1"	"F4"	"G0"	"H5"	"I5"	"J0"	"K4"	"L4"
"A1"	"B2"	"C4"	"D7"	"E0"	"F3"	"G0"	"H6"	"I3"	"J1"	"K6"	"L6"
"A1"	"B3"	"C2"	"D8"	"E0"	"F4"	"G0"	"H5"	"I9"	"J0"	"K0"	"L0"
"A2"	"B4"	"C2"	"D8"	"E0"	"F5"	"G1"	"H4"	"I8"	"J1"	"K0"	"L0"
"A1"	"B5"	"C3"	"D1"	"E1"	"F5"	"G2"	"H3"	"I5"	"J1"	"K4"	"L0"
"A1"	"B3"	"C4"	"D7"	"E0"	"F3"	"G0"	"H6"	"I7"	"J0"	"K2"	"L2"
"A1"	"B2"	"C3"	"D5"	"E3"	"F1"	"G1"	"H5"	"I3"	"J2"	"K5"	"L5"
"A1"	"B3"	"C2"	"D3"	"E0"	"F4"	"G0"	"H5"	"I9"	"J0"	"K0"	"L0"
"A1"	"B2"	"C2"	"D5"	"E0"	"F5"	"G3"	"H2"	"I3"	"J4"	"K3"	"L1"
"A1"	"B3"	"C4"	"D8"	"E0"	"F6"	"G0"	"H3"	"I7"	"J0"	"K2"	"L0"
"A1"	"B3"	"C3"	"D9"	"E1"	"F4"	"G2"	"H3"	"I5"	"J2"	"K3"	"L2"
"A1"	"B3"	"C3"	"D10"	"E0"	"F7"	"G0"	"H3"	"I8"	"J1"	"K1"	"L1"
"A1"	"B3"	"C3"	"D3"	"E1"	"F7"	"G0"	"H1"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C3"	"D3"	"E1"	"F4"	"G2"	"H3"	"I7"	"J1"	"K2"	"L1"
"A1"	"B2"	"C3"	"D8"	"E1"	"F5"	"G2"	"H3"	"I5"	"J1"	"K3"	"L0"
"A1"	"B2"	"C4"	"D9"	"E4"	"F4"	"G0"	"H2"	"I9"	"J0"	"K0"	"L3"
"A2"	"B4"	"C3"	"D3"	"E0"	"F4"	"G2"	"H4"	"I8"	"J1"	"K1"	"L1"
"A1"	"B2"	"C3"	"D10"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L4"
"A1"	"B3"	"C3"	"D1"	"E1"	"F5"	"G2"	"H3"	"I5"	"J1"	"K3"	"L0"
"A1"	"B2"	"C4"	"D9"	"E0"	"F3"	"G5"	"H1"	"I5"	"J0"	"K4"	"L4"
"A2"	"B4"	"C2"	"D2"	"E0"	"F6"	"G0"	"H3"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D6"	"E2"	"F5"	"G2"	"H1"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C3"	"D8"	"E1"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L2"
"A1"	"B3"	"C3"	"D8"	"E1"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L2"
"A1"	"B4"	"C3"	"D3"	"E0"	"F5"	"G2"	"H3"	"I7"	"J1"	"K1"	"L1"
"A1"	"B3"	"C3"	"D2"	"E1"	"F6"	"G2"	"H2"	"I8"	"J0"	"K1"	"L1"
"A1"	"B2"	"C2"	"D5"	"E0"	"F5"	"G3"	"H2"	"I3"	"J4"	"K3"	"L1"
"A1"	"B3"	"C3"	"D2"	"E2"	"F6"	"G0"	"H2"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F5"	"G1"	"H3"	"I6"	"J2"	"K1"	"L1"
"A1"	"B4"	"C2"	"D9"	"E2"	"F0"	"G2"	"H5"	"I9"	"J0"	"K0"	"L0"
"A1"	"B4"	"C2"	"D3"	"E0"	"F5"	"G0"	"H4"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D1"	"E0"	"F3"	"G1"	"H5"	"I6"	"J1"	"K3"	"L2"
"A1"	"B3"	"C2"	"D3"	"E2"	"F2"	"G1"	"H5"	"I6"	"J2"	"K2"	"L2"
"A1"	"B2"	"C3"	"D6"	"E0"	"F5"	"G2"	"H2"	"I4"	"J2"	"K4"	"L4"
"A1"	"B3"	"C3"	"D3"	"E2"	"F4"	"G0"	"H4"	"I8"	"J1"	"K0"	"L0"
"A1"	"B2"	"C4"	"D7"	"E0"	"F4"	"G0"	"H5"	"I5"	"J2"	"K2"	"L2"
"A1"	"B4"	"C3"	"D7"	"E0"	"F3"	"G0"	"H6"	"I9"	"J0"	"K0"	"L0"
"A1"	"B4"	"C3"	"D9"	"E2"	"F5"	"G1"	"H2"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C4"	"D1"	"E0"	"F9"	"G0"	"H0"	"I9"	"J0"	"K0"	"L0"
"A1"	"B2"	"C2"	"D5"	"E0"	"F7"	"G2"	"H0"	"I9"	"J0"	"K0"	"L4"
"A1"	"B3"	"C3"	"D10"	"E1"	"F4"	"G2"	"H3"	"I5"	"J2"	"K3"	"L2"
"A1"	"B3"	"C3"	"D3"	"E0"	"F3"	"G0"	"H6"	"I7"	"J0"	"K2"	"L1"
"A1"	"B2"	"C2"	"D9"	"E2"	"F0"	"G3"	"H5"	"I2"	"J6"	"K2"	"L2"
"A2"	"B2"	"C5"	"D1"	"E0"	"F7"	"G0"	"H2"	"I7"	"J0"	"K2"	"L2"
"A2"	"B3"	"C2"	"D3"	"E0"	"F6"	"G0"	"H3"	"I7"	"J2"	"K0"	"L3"
"A2"	"B2"	"C3"	"D2"	"E1"	"F4"	"G0"	"H5"	"I5"	"J1"	"K3"	"L3"
"A1"	"B4"	"C2"	"D8"	"E0"	"F5"	"G1"	"H3"	"I7"	"J0"	"K2"	"L0"
"A1"	"B4"	"C3"	"D8"	"E1"	"F4"	"G2"	"H3"	"I7"	"J1"	"K2"	"L0"
"A1"	"B1"	"C2"	"D5"	"E1"	"F4"	"G2"	"H4"	"I2"	"J2"	"K6"	"L6"
"A1"	"B3"	"C2"	"D9"	"E0"	"F3"	"G1"	"H6"	"I8"	"J1"	"K1"	"L1"
"A1"	"B1"	"C2"	"D5"	"E1"	"F4"	"G1"	"H4"	"I2"	"J2"	"K5"	"L5"
"A2"	"B3"	"C2"	"D8"	"E0"	"F7"	"G0"	"H2"	"I7"	"J2"	"K0"	"L0"
"A1"	"B4"	"C2"	"D8"	"E1"	"F4"	"G1"	"H4"	"I7"	"J1"	"K2"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F6"	"G0"	"H3"	"I5"	"J1"	"K4"	"L2"
"A1"	"B3"	"C2"	"D5"	"E1"	"F3"	"G2"	"H5"	"I6"	"J1"	"K2"	"L1"
"A1"	"B3"	"C3"	"D9"	"E2"	"F6"	"G0"	"H2"	"I5"	"J3"	"K2"	"L2"
"A1"	"B2"	"C2"	"D3"	"E0"	"F7"	"G2"	"H0"	"I7"	"J0"	"K2"	"L0"
"A1"	"B3"	"C3"	"D9"	"E1"	"F5"	"G1"	"H3"	"I5"	"J1"	"K3"	"L3"
"A2"	"B5"	"C2"	"D9"	"E1"	"F5"	"G0"	"H3"	"I7"	"J1"	"K2"	"L0"
"A1"	"B3"	"C4"	"D7"	"E2"	"F4"	"G0"	"H4"	"I7"	"J0"	"K2"	"L0"
"A1"	"B3"	"C3"	"D9"	"E0"	"F6"	"G2"	"H3"	"I6"	"J0"	"K3"	"L0"
"A2"	"B2"	"C4"	"D5"	"E0"	"F0"	"G0"	"H9"	"I2"	"J3"	"K5"	"L4"
"A1"	"B3"	"C3"	"D8"	"E0"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L2"
"A1"	"B3"	"C3"	"D2"	"E0"	"F5"	"G2"	"H3"	"I5"	"J0"	"K4"	"L3"
"A1"	"B2"	"C4"	"D8"	"E1"	"F5"	"G1"	"H3"	"I6"	"J0"	"K3"	"L4"
"A1"	"B1"	"C3"	"D8"	"E0"	"F4"	"G4"	"H2"	"I6"	"J0"	"K3"	"L7"
"A1"	"B3"	"C2"	"D8"	"E1"	"F4"	"G1"	"H5"	"I6"	"J1"	"K3"	"L5"
"A1"	"B3"	"C2"	"D9"	"E0"	"F6"	"G0"	"H3"	"I5"	"J2"	"K2"	"L2"
"A1"	"B1"	"C1"	"D5"	"E1"	"F4"	"G2"	"H3"	"I4"	"J1"	"K4"	"L5"
"A1"	"B3"	"C4"	"D8"	"E0"	"F6"	"G2"	"H3"	"I6"	"J0"	"K3"	"L0"
"A1"	"B4"	"C2"	"D3"	"E2"	"F3"	"G1"	"H5"	"I7"	"J0"	"K2"	"L1"
"A2"	"B2"	"C4"	"D1"	"E0"	"F5"	"G1"	"H3"	"I6"	"J1"	"K3"	"L3"
"A1"	"B3"	"C3"	"D1"	"E2"	"F7"	"G0"	"H0"	"I7"	"J1"	"K2"	"L1"
"A1"	"B3"	"C2"	"D3"	"E2"	"F7"	"G0"	"H0"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D1"	"E0"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L3"
"A1"	"B2"	"C1"	"D4"	"E0"	"F4"	"G3"	"H3"	"I2"	"J3"	"K5"	"L5"
"A1"	"B3"	"C3"	"D9"	"E0"	"F4"	"G1"	"H4"	"I7"	"J0"	"K2"	"L2"
"A1"	"B2"	"C3"	"D8"	"E1"	"F4"	"G1"	"H4"	"I5"	"J1"	"K4"	"L3"
"A1"	"B2"	"C4"	"D3"	"E2"	"F0"	"G2"	"H6"	"I4"	"J0"	"K6"	"L5"
"A1"	"B3"	"C3"	"D9"	"E1"	"F5"	"G1"	"H3"	"I5"	"J1"	"K3"	"L3"
"A1"	"B3"	"C3"	"D1"	"E2"	"F5"	"G3"	"H0"	"I9"	"J0"	"K0"	"L2"
"A1"	"B3"	"C2"	"D2"	"E0"	"F7"	"G2"	"H0"	"I7"	"J2"	"K0"	"L0"
"A1"	"B3"	"C2"	"D9"	"E0"	"F3"	"G1"	"H5"	"I8"	"J0"	"K1"	"L1"
"A1"	"B3"	"C2"	"D2"	"E2"	"F5"	"G0"	"H3"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D9"	"E2"	"F7"	"G1"	"H0"	"I7"	"J0"	"K2"	"L0"
"A1"	"B2"	"C3"	"D3"	"E2"	"F3"	"G2"	"H4"	"I5"	"J4"	"K1"	"L2"
"A1"	"B2"	"C3"	"D1"	"E1"	"F5"	"G1"	"H3"	"I5"	"J1"	"K4"	"L3"
"A1"	"B2"	"C3"	"D3"	"E1"	"F3"	"G1"	"H5"	"I4"	"J2"	"K4"	"L4"
"A6"	"B2"	"C5"	"D6"	"E0"	"F6"	"G1"	"H3"	"I5"	"J1"	"K4"	"L3"
"A1"	"B3"	"C2"	"D3"	"E2"	"F3"	"G1"	"H5"	"I6"	"J1"	"K3"	"L2"
"A1"	"B2"	"C3"	"D5"	"E0"	"F2"	"G2"	"H5"	"I5"	"J2"	"K3"	"L4"
"A1"	"B2"	"C3"	"D9"	"E0"	"F5"	"G0"	"H4"	"I3"	"J2"	"K5"	"L4"
"A1"	"B4"	"C3"	"D3"	"E1"	"F3"	"G2"	"H4"	"I6"	"J1"	"K3"	"L2"
"A1"	"B2"	"C3"	"D7"	"E0"	"F6"	"G0"	"H3"	"I3"	"J0"	"K6"	"L3"
"A1"	"B3"	"C3"	"D8"	"E1"	"F7"	"G1"	"H2"	"I8"	"J1"	"K1"	"L1"
"A1"	"B2"	"C1"	"D5"	"E0"	"F5"	"G0"	"H5"	"I0"	"J6"	"K3"	"L1"
"A1"	"B3"	"C2"	"D2"	"E0"	"F7"	"G2"	"H0"	"I7"	"J2"	"K0"	"L0"
"A1"	"B1"	"C2"	"D5"	"E0"	"F6"	"G1"	"H2"	"I1"	"J2"	"K6"	"L5"
"A1"	"B3"	"C4"	"D3"	"E0"	"F2"	"G4"	"H4"	"I7"	"J0"	"K2"	"L4"
"A1"	"B3"	"C3"	"D1"	"E2"	"F3"	"G2"	"H4"	"I5"	"J1"	"K3"	"L2"
"A1"	"B3"	"C2"	"D3"	"E4"	"F1"	"G0"	"H5"	"I6"	"J3"	"K0"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F6"	"G1"	"H2"	"I7"	"J1"	"K2"	"L1"
"A1"	"B3"	"C3"	"D7"	"E1"	"F4"	"G2"	"H3"	"I7"	"J1"	"K2"	"L2"
"A1"	"B2"	"C2"	"D5"	"E0"	"F5"	"G3"	"H2"	"I3"	"J4"	"K3"	"L1"
"A1"	"B3"	"C3"	"D1"	"E2"	"F3"	"G1"	"H4"	"I6"	"J1"	"K2"	"L1"
"A1"	"B3"	"C3"	"D3"	"E2"	"F7"	"G0"	"H0"	"I9"	"J0"	"K0"	"L2"
"A1"	"B4"	"C3"	"D9"	"E1"	"F4"	"G1"	"H4"	"I7"	"J1"	"K2"	"L0"
"A1"	"B2"	"C4"	"D5"	"E1"	"F3"	"G1"	"H5"	"I5"	"J1"	"K4"	"L3"
"A1"	"B2"	"C2"	"D3"	"E0"	"F4"	"G2"	"H4"	"I7"	"J1"	"K2"	"L3"
"A1"	"B2"	"C4"	"D7"	"E0"	"F4"	"G0"	"H5"	"I3"	"J0"	"K6"	"L6"
"A1"	"B4"	"C2"	"D3"	"E1"	"F5"	"G1"	"H4"	"I8"	"J1"	"K1"	"L1"
"A1"	"B3"	"C2"	"D2"	"E0"	"F4"	"G2"	"H4"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C3"	"D2"	"E1"	"F6"	"G2"	"H1"	"I7"	"J0"	"K2"	"L1"
"A1"	"B3"	"C3"	"D10"	"E0"	"F6"	"G2"	"H2"	"I6"	"J0"	"K3"	"L3"
"A1"	"B4"	"C3"	"D3"	"E0"	"F5"	"G2"	"H3"	"I7"	"J1"	"K1"	"L1"
"A1"	"B3"	"C4"	"D8"	"E1"	"F4"	"G0"	"H5"	"I8"	"J1"	"K1"	"L1"
"A2"	"B3"	"C3"	"D8"	"E0"	"F4"	"G2"	"H3"	"I7"	"J0"	"K2"	"L0"
"A7"	"B2"	"C6"	"D6"	"E0"	"F6"	"G2"	"H2"	"I9"	"J0"	"K0"	"L4"
"A1"	"B3"	"C3"	"D2"	"E1"	"F6"	"G2"	"H2"	"I8"	"J0"	"K1"	"L1"
"A1"	"B1"	"C2"	"D5"	"E1"	"F4"	"G1"	"H4"	"I2"	"J2"	"K5"	"L5"
"A1"	"B2"	"C2"	"D5"	"E0"	"F6"	"G2"	"H2"	"I4"	"J2"	"K4"	"L4"
"A1"	"B1"	"C2"	"D5"	"E0"	"F6"	"G1"	"H2"	"I1"	"J2"	"K6"	"L6"
"A1"	"B2"	"C4"	"D1"	"E0"	"F7"	"G0"	"H2"	"I7"	"J2"	"K0"	"L0"
"A1"	"B3"	"C3"	"D2"	"E0"	"F3"	"G0"	"H6"	"I7"	"J2"	"K0"	"L0"
"A2"	"B3"	"C3"	"D8"	"E0"	"F4"	"G2"	"H3"	"I7"	"J0"	"K2"	"L0"
"A1"	"B3"	"C3"	"D7"	"E0"	"F4"	"G1"	"H4"	"I6"	"J1"	"K3"	"L1"
"A1"	"B3"	"C2"	"D9"	"E0"	"F5"	"G0"	"H4"	"I5"	"J1"	"K3"	"L3"
"A1"	"B3"	"C3"	"D5"	"E1"	"F4"	"G1"	"H5"	"I6"	"J2"	"K2"	"L2"
"A1"	"B2"	"C4"	"D8"	"E0"	"F9"	"G0"	"H0"	"I6"	"J0"	"K3"	"L3"
"A1"	"B3"	"C3"	"D10"	"E0"	"F4"	"G1"	"H4"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C3"	"D2"	"E1"	"F5"	"G2"	"H3"	"I7"	"J1"	"K2"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F6"	"G1"	"H2"	"I6"	"J0"	"K3"	"L2"
"A1"	"B2"	"C2"	"D3"	"E1"	"F4"	"G0"	"H5"	"I5"	"J0"	"K4"	"L4"
"A1"	"B3"	"C2"	"D8"	"E3"	"F5"	"G0"	"H2"	"I6"	"J0"	"K3"	"L2"
"A1"	"B2"	"C4"	"D7"	"E0"	"F3"	"G3"	"H4"	"I5"	"J0"	"K4"	"L4"
"A1"	"B1"	"C2"	"D5"	"E1"	"F4"	"G1"	"H4"	"I2"	"J2"	"K5"	"L5"
"A1"	"B3"	"C2"	"D8"	"E0"	"F7"	"G0"	"H2"	"I7"	"J2"	"K0"	"L0"
"A3"	"B2"	"C4"	"D6"	"E0"	"F3"	"G0"	"H6"	"I5"	"J0"	"K4"	"L4"
"A1"	"B2"	"C4"	"D8"	"E0"	"F5"	"G2"	"H2"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C3"	"D9"	"E1"	"F4"	"G2"	"H3"	"I7"	"J1"	"K2"	"L2"
"A1"	"B3"	"C3"	"D9"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L0"
"A1"	"B2"	"C5"	"D6"	"E1"	"F5"	"G1"	"H2"	"I6"	"J1"	"K3"	"L5"
"A1"	"B2"	"C4"	"D8"	"E0"	"F6"	"G0"	"H3"	"I6"	"J0"	"K3"	"L3"
"A1"	"B3"	"C3"	"D10"	"E0"	"F7"	"G1"	"H2"	"I8"	"J1"	"K1"	"L1"
"A1"	"B2"	"C3"	"D7"	"E0"	"F6"	"G1"	"H3"	"I6"	"J1"	"K3"	"L3"
"A1"	"B4"	"C2"	"D3"	"E0"	"F6"	"G1"	"H3"	"I7"	"J1"	"K2"	"L1"
"A1"	"B4"	"C2"	"D3"	"E0"	"F2"	"G3"	"H5"	"I6"	"J0"	"K3"	"L2"
"A1"	"B2"	"C2"	"D5"	"E0"	"F6"	"G1"	"H2"	"I1"	"J2"	"K6"	"L3"
"A1"	"B5"	"C3"	"D8"	"E0"	"F6"	"G2"	"H2"	"I6"	"J0"	"K3"	"L3"
"A1"	"B4"	"C4"	"D8"	"E1"	"F4"	"G1"	"H4"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C3"	"D9"	"E0"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L3"
"A1"	"B3"	"C3"	"D3"	"E0"	"F2"	"G1"	"H6"	"I6"	"J2"	"K2"	"L0"
"A1"	"B2"	"C4"	"D7"	"E0"	"F6"	"G0"	"H3"	"I4"	"J0"	"K5"	"L3"
"A2"	"B4"	"C2"	"D3"	"E0"	"F9"	"G0"	"H0"	"I9"	"J0"	"K0"	"L0"
"A1"	"B4"	"C3"	"D3"	"E0"	"F7"	"G2"	"H2"	"I5"	"J2"	"K3"	"L0"
"A1"	"B3"	"C3"	"D10"	"E0"	"F4"	"G1"	"H4"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C3"	"D9"	"E0"	"F5"	"G1"	"H4"	"I5"	"J2"	"K3"	"L2"
"A1"	"B1"	"C5"	"D6"	"E0"	"F4"	"G1"	"H4"	"I1"	"J0"	"K8"	"L7"
"A1"	"B2"	"C4"	"D8"	"E0"	"F5"	"G1"	"H4"	"I6"	"J1"	"K3"	"L2"
"A1"	"B3"	"C3"	"D7"	"E0"	"F2"	"G3"	"H4"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C3"	"D8"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L2"
"A2"	"B1"	"C1"	"D5"	"E0"	"F2"	"G4"	"H4"	"I2"	"J2"	"K5"	"L5"
"A1"	"B3"	"C3"	"D1"	"E0"	"F5"	"G4"	"H1"	"I9"	"J0"	"K0"	"L1"
"A1"	"B3"	"C4"	"D8"	"E0"	"F5"	"G1"	"H3"	"I5"	"J0"	"K4"	"L3"
"A1"	"B1"	"C2"	"D5"	"E2"	"F4"	"G1"	"H3"	"I3"	"J2"	"K5"	"L6"
"A1"	"B2"	"C3"	"D9"	"E0"	"F5"	"G1"	"H3"	"I7"	"J1"	"K2"	"L2"
"A3"	"B2"	"C4"	"D6"	"E0"	"F3"	"G0"	"H6"	"I5"	"J0"	"K4"	"L4"
"A1"	"B4"	"C2"	"D3"	"E1"	"F5"	"G1"	"H4"	"I8"	"J1"	"K1"	"L1"
"A1"	"B2"	"C4"	"D9"	"E0"	"F4"	"G4"	"H2"	"I3"	"J2"	"K4"	"L4"
"A1"	"B2"	"C4"	"D9"	"E0"	"F4"	"G0"	"H5"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C2"	"D8"	"E0"	"F3"	"G1"	"H5"	"I6"	"J0"	"K3"	"L2"
"A1"	"B3"	"C3"	"D2"	"E3"	"F5"	"G2"	"H0"	"I7"	"J0"	"K2"	"L0"
"A1"	"B3"	"C3"	"D2"	"E0"	"F4"	"G1"	"H4"	"I6"	"J1"	"K3"	"L3"
"A1"	"B2"	"C2"	"D5"	"E0"	"F5"	"G2"	"H2"	"I5"	"J4"	"K0"	"L2"
"A1"	"B2"	"C4"	"D8"	"E0"	"F5"	"G0"	"H5"	"I9"	"J0"	"K0"	"L0"
"A1"	"B3"	"C4"	"D7"	"E2"	"F4"	"G0"	"H4"	"I7"	"J0"	"K2"	"L0"
"A1"	"B2"	"C4"	"D2"	"E0"	"F4"	"G0"	"H5"	"I7"	"J0"	"K2"	"L2"
"A1"	"B3"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I8"	"J0"	"K1"	"L0"
"A1"	"B2"	"C2"	"D5"	"E2"	"F2"	"G2"	"H5"	"I5"	"J1"	"K4"	"L3"
"A1"	"B3"	"C3"	"D10"	"E0"	"F4"	"G1"	"H4"	"I7"	"J0"	"K2"	"L2"
"A1"	"B2"	"C2"	"D3"	"E0"	"F4"	"G2"	"H4"	"I7"	"J1"	"K2"	"L3"
"A1"	"B2"	"C3"	"D2"	"E1"	"F5"	"G0"	"H3"	"I7"	"J1"	"K2"	"L3"
"A1"	"B3"	"C2"	"D3"	"E1"	"F5"	"G1"	"H3"	"I8"	"J1"	"K1"	"L1"
"A1"	"B1"	"C5"	"D6"	"E0"	"F4"	"G2"	"H4"	"I3"	"J0"	"K6"	"L6"
"A1"	"B2"	"C3"	"D5"	"E1"	"F3"	"G2"	"H5"	"I5"	"J2"	"K2"	"L4"
"A2"	"B3"	"C2"	"D3"	"E1"	"F1"	"G1"	"H7"	"I5"	"J1"	"K4"	"L0"
"A1"	"B3"	"C3"	"D8"	"E0"	"F7"	"G0"	"H2"	"I5"	"J1"	"K4"	"L4"
"A1"	"B1"	"C4"	"D8"	"E1"	"F4"	"G1"	"H4"	"I7"	"J1"	"K2"	"L9"
"A2"	"B3"	"C3"	"D8"	"E0"	"F6"	"G1"	"H3"	"I7"	"J0"	"K2"	"L1"
"A1"	"B3"	"C3"	"D8"	"E0"	"F4"	"G0"	"H5"	"I9"	"J0"	"K0"	"L0"
"A1"	"B2"	"C4"	"D7"	"E0"	"F5"	"G0"	"H4"	"I2"	"J0"	"K7"	"L4"
"A1"	"B2"	"C2"	"D5"	"E0"	"F6"	"G1"	"H2"	"I1"	"J2"	"K6"	"L3"
"A1"	"B2"	"C4"	"D8"	"E0"	"F7"	"G0"	"H2"	"I4"	"J2"	"K3"	"L3"
"A1"	"B3"	"C3"	"D8"	"E0"	"F2"	"G2"	"H5"	"I7"	"J0"	"K2"	"L0"
"A1"	"B4"	"C2"	"D7"	"E0"	"F9"	"G0"	"H0"	"I5"	"J0"	"K4"	"L0"
"A1"	"B2"	"C4"	"D7"	"E0"	"F6"	"G1"	"H3"	"I5"	"J0"	"K4"	"L4"
"A1"	"B2"	"C3"	"D1"	"E2"	"F4"	"G2"	"H3"	"I7"	"J0"	"K2"	"L2"
"A1"	"B2"	"C5"	"D8"	"E2"	"F6"	"G2"	"H2"	"I2"	"J0"	"K7"	"L3"
"A1"	"B3"	"C3"	"D2"	"E0"	"F3"	"G1"	"H6"	"I8"	"J1"	"K0"	"L0"
